rank,name,number_students,student_staff_ratio,intl_students,female_male_ratio,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,total_score
601,The University of Aizu,1165,10.8,5,11,20.8,12.5,41.7,36,68.3,28.5225
601,University of Alcalá,17793,12.9,18,56,18.5,15.7,43.2,42.5,59,28.7075
601,Amedeo Avogadro University of Eastern Piedmont,13447,36.1,6,62,14.7,18.9,66.2,35.1,41.8,33.9525
601,Amrita Vishwa Vidyapeetham,14689,11.9,12,,26.1,17,47.7,82.5,46.2,32.7675
601,"University of the Andes, Colombia",15521,13.2,2,44,21.1,15.9,45,37.4,55.7,29.7125
601,Aristotle University of Thessaloniki,46505,26.8,5,58,19.2,16.8,64.3,41.3,41.2,34.2125
601,University of Arkansas,24754,19.8,5,52,26.9,23,37,39.4,30.9,29.3725
601,Auburn University,26641,18.8,9,51,32.7,21.1,43.3,40.2,43.8,33.42
601,University of Aveiro,9774,16.5,12,51,24.7,25.5,40.7,41.4,52.5,32.2425
601,University of the Balearic Islands,11277,12.8,7,59,20.3,13.6,59.1,34.7,46.7,32.27
601,Banaras Hindu University,14953,11.3,3,10,30.8,16.4,46.7,34.6,17.7,30.3625
601,University of the Basque Country,42485,14.8,4,53,22,17.1,47.3,37.1,41.5,29.96
601,Baylor University,17078,16.2,6,57,32.1,18.2,53.9,35.3,33.2,34.6325
601,Beijing Institute of Technology,30608,13.3,8,35,30.6,32.1,32.7,98.1,24.3,32.895
601,University of Beira Interior,7022,15.7,14,52,17.9,16.5,48.7,34.7,52.7,29.75
601,Beni-Suef University,67981,25.3,1,46,14.7,7.4,60.8,34.4,45.9,29.1725
601,University of Bergamo,19022,57,7,61,19.5,21,59.3,40.9,36.6,33.7075
601,Boğaziçi University,13202,23.2,3,46,23.2,21.2,49.4,50.8,41.8,32.545
601,University of Brighton,17155,18,21,59,17.1,14.2,43.4,35.1,75.6,28.9575
601,Ca’ Foscari University of Venice,15636,27.7,10,65,25.1,25.7,36.5,37.1,53.9,31.16
601,Cairo University,223275,40.6,2,48,21.8,13.7,51.5,35.4,35.3,29.6325
601,University of Calabria,27403,33,2,57,17.6,17.5,59.8,87.9,38.3,33.54
601,University of Central Florida,56228,35.3,4,56,26.5,28.7,49.7,42.6,32.9,35.0025
601,Central Queensland University,14701,20.8,31,55,16.9,12.9,50.2,36.4,60.4,29.44
601,Chemnitz University of Technology,10473,45.7,24,43,33,26.5,26.8,67.8,53.6,31.605
601,China Agricultural University,19586,11.6,1,58,34.9,26.2,40.7,52.2,22,33.495
601,"China University of Petroleum, Beijing",15150,18.7,4,,24,26.1,39.2,88,21.7,30.6175
601,Clemson University,21436,17,7,47,25,21.2,43,40.1,39.2,30.7025
601,University of Clermont Auvergne,34644,18.8,13,56,19.2,10,57,38,61.8,31.445
601,University of Coimbra,21404,17.6,19,57,23.7,28.1,47.4,41,58.7,35.1875
601,COMSATS University Islamabad,33030,11.4,1,28,16.9,9.9,65.5,34.5,45.7,31.98
601,Concordia University,33543,32.3,29,50,20.9,25.9,46,36.9,82.5,34.95
601,University of Costa Rica,33900,15.1,2,53,16.2,7.9,77.1,34.4,48.2,34.835
601,Coventry University,27531,16.4,46,47,17.4,12.7,44.1,34.7,89.3,29.825
601,Creighton University,8228,11.1,8,58,42,11.6,41.5,35.7,29.8,31.6575
601,Dalian University of Technology,39665,15.7,3,35,24.6,23.7,40.2,77.1,28.5,30.615
601,University of Delhi,24547,23,1,47,37.6,17.8,42.8,34.5,17.3,31.62
601,De Montfort University,19093,19.5,27,56,16.9,13.8,50.4,34.6,75.6,30.865
601,Dublin City University,12619,24,10,57,21,25.2,49.7,42.8,71.8,35.225
601,East China University of Science and Technology,25519,15.6,2,43,22,19.1,44,56.1,17.9,28.275
601,École Centrale de Lyon,1998,16.1,24,25,31.1,20.2,23.6,59.7,67.2,29.0025
601,École normale supérieure Paris-Saclay,1869,12.6,14,30,36.5,29.6,27.7,51.1,55.3,33.565
601,University of Electronic Science and Technology of China,33242,16.4,4,31,23.5,22.2,55.1,71.8,28.8,34.195
601,Eötvös Loránd University,26105,16.7,9,65,21.4,17.7,48.2,35.1,52.6,31.0125
601,Ewha Womans University,14510,16.9,15,10,29.9,30.8,31.4,69.9,46.7,32.88
601,Federal University of Minas Gerais,43899,12.6,2,53,30.2,17.9,52,38.8,29.6,33.22
601,Federal University of Rio Grande do Sul,52579,19.4,1,52,29.6,18.3,49.3,46.5,26.3,32.295
601,Federal University of Santa Catarina,38719,16.6,2,49,28.4,13.1,52.6,38.7,29.4,31.4025
601,Federal University of São Paulo (UNIFESP),14572,9.3,1,59,32.6,17.8,43.3,35.7,28.6,31.1475
601,Ferhat Abbas Sétif University 1,34002,22.7,1,65,17.7,7.7,73,34.4,41.8,33.515
601,University of Girona,13906,19,14,58,18.9,18.2,57.6,37.4,53.9,33.3875
601,Glasgow Caledonian University,12637,19.9,17,59,15.7,12.2,56.2,35.2,61.1,30.6925
601,University of Granada,56044,15.4,10,59,19.4,20.9,52,35.6,48.1,32.1875
601,University of Greenwich,14477,18,36,58,17.1,15.2,39.5,35.4,89.4,29.13
601,University of Hertfordshire,17584,17.5,28,56,17.5,13,42.7,35.3,80.1,28.85
601,Hiroshima University,15077,9,10,36,28.9,22.4,31.5,49.9,33.7,28.615
601,Huazhong Agricultural University,25956,17.4,2,54,21.8,15.1,49.7,43.1,22.5,28.745
601,University of Huddersfield,14483,20.7,24,55,22.8,20,44.8,36.6,72,32.595
601,IDC Herzliya,6908,47,24,52,14.1,10.1,62.6,34.4,63.2,31.64
601,Imam Khomeini International University,8330,28.6,7,55,12.3,8.5,78,34.7,20.7,32.06
601,"Indian Institute of Science Education and Research, Pune",1274,9.5,0,32,31.7,19.5,54.1,35.1,21.5,34.08
601,Indian Institute of Technology Bhubaneswar,1237,10.7,0,15,27,11.3,52.9,35.8,17.1,29.5375
601,Indian Institute of Technology Guwahati,5699,13.5,1,17,33.7,22,37.2,41,15.3,30.0425
601,Indian Institute of Technology Hyderabad,2088,11.9,0,20,25.3,18,52.4,39.4,17.7,31.0225
601,Indian Institute of Technology Kanpur,6860,13.6,0,14,37.8,24.5,35.2,94.3,18.8,33.0175
601,Indian Institute of Technology Madras,9241,15.6,1,20,44.9,30.6,25.4,80,19.3,33.7175
601,University of Indonesia,41170,9.9,11,65,38.7,19.2,16.7,81.6,53.7,28.4475
601,University of International Business and Economics,15775,17.4,18,66,25.3,16.1,35.2,35.7,61.5,28.485
601,University of Ioannina,21902,44.3,3,47,16.5,14.7,60.2,37.3,43.4,31.6075
601,Iran University of Medical Sciences,8673,9,3,59,37.7,10,52.6,43.4,20.7,32.7275
601,Iran University of Science and Technology,13273,31.7,1,31,27.8,33,42.6,96.3,16.8,34.6875
601,ISCTE-University Institute of Lisbon,8898,24.2,12,50,23,26.4,29.3,39.8,49.3,28.3025
601,Isfahan University of Technology,10064,20.7,1,44,25.4,23.4,41.7,85.5,22.6,30.9825
601,Istanbul Technical University,34825,23,4,34,25.2,28,30.2,100,26.8,29.53
601,Jagiellonian University,40608,10.9,9,68,25.5,17,61.4,35.3,37.7,34.88
601,Jamia Millia Islamia,10653,9.7,3,40,29.4,8.7,47.6,35.2,24.9,28.4575
601,Jaume I University,12182,15.6,9,58,22.5,16.3,49.6,37.5,43.5,30.72
601,Jawaharlal Nehru University,7938,13.9,4,52,43.9,17.3,26.6,43,19.3,28.8625
601,Jiangsu Normal University,21455,14.3,2,,15.1,11,60.7,39.7,23.2,28.7725
601,Jikei University School of Medicine,1078,0.9,1,47,28.4,8.6,51.4,38.3,15.9,28.67
601,University of Johannesburg,26445,23.9,15,55,19.7,25.8,42.5,40.4,69.2,32.6
601,Johannes Kepler University of Linz,6122,10.5,11,51,28.1,19.7,46.8,54.1,64.4,34.5625
601,Kafrelsheikh University,74546,39.7,1,51,13,7.9,67.4,38,47.1,30.9725
601,University of Kaiserslautern,14869,51.6,18,39,33.6,24.1,41.3,64.5,52.3,35.235
601,Kansas State University,21536,14.3,9,50,25,20.4,45.8,41.9,47.2,31.9475
601,Kazan Federal University,26670,10.8,13,66,28.7,16.9,47.8,40,42.6,32.215
601,Universiti Kebangsaan Malaysia,17180,10.1,15,61,34.2,19.6,32.3,37.1,52.9,30.725
601,Keio University,34916,10.4,8,36,32.1,25.7,36.8,42.7,31.5,31.81
601,Kent State University,24559,20.4,9,60,23.6,19,55.6,34.8,42.6,33.525
601,Kindai University,33125,13.6,2,30,20.1,11.4,58.4,38.8,23,29.665
601,King Khalid University,38865,8.1,11,53,21.6,7.1,53.6,34.5,82.7,31.755
601,Kobe University,15593,9.5,7,35,32.4,22.8,31.1,44.3,28.7,29.15
601,Konkuk University,12225,23.2,16,70,33,37.9,27.5,44.3,47.7,34.205
601,Kurume University,4850,7.3,2,39,21.5,10.1,54.5,36.5,21,28.3175
601,Lakehead University,8050,24.5,13,56,17.6,19.5,46.9,37.3,49.4,29.8375
601,University of La Laguna,18336,12.9,4,58,19.3,11.5,67.8,35.2,46.9,33.9775
601,Lehigh University,6462,10.8,17,44,27.4,20.8,51,40.3,45.1,34.15
601,University of Leoben,3074,5.9,15,26,28.1,11.2,35.6,56.2,70.2,29.14
601,University of Lille,69287,29,13,58,20.3,17.3,53,39,60.7,32.7075
601,University of Lincoln,12060,15.1,13,56,16.5,14.1,64.3,35.3,71.2,34.6925
601,University of Ljubljana,40110,14.7,6,60,21.1,18.7,44.8,39.7,42.3,29.545
601,University of Lleida,8595,14.7,8,59,23.6,15.2,48.8,37.8,41.6,30.345
601,University of Lorraine,58678,19.2,16,52,21.8,13.5,61.3,37.3,61.6,34.5325
601,"Lumière University, Lyon 2",25134,51.1,19,72,28.8,18.1,29,34.7,62.4,28.3175
601,Mae Fah Luang University,13534,22.3,4,73,14.4,9,74.4,34.5,50.6,33.9975
601,Mahidol University,28476,10.2,4,49,31.6,21,45.2,73.4,46.1,34.6325
601,Makerere University,34651,23.6,8,45,16.7,12.7,69.6,40.9,58.7,35.125
601,Universiti Malaysia Perlis,12154,17.1,5,49,16.5,12,62.4,35.7,28,30.2625
601,University of Malta,11772,13,9,58,16.9,13.7,48.1,34.7,57.9,28.82
601,Manchester Metropolitan University,28146,15.1,16,58,20.1,14.2,55.4,34.8,65.3,32.6775
601,"University of Maryland, Baltimore County",11667,18.1,8,45,22.9,17.4,57.8,35.7,34.3,32.895
601,Masaryk University,31611,20.2,21,62,22.6,25.4,36.3,35.6,61.5,30.7925
601,Metropolitan Autonomous University,57827,20,0,48,16.6,16.3,68.6,36.4,25.1,33.2425
601,Middle East Technical University,27455,31.6,6,44,28.7,23.2,30.7,62.1,30.4,28.6125
601,Miguel Hernández University of Elche ,13591,20,5,49,30.3,12.7,45.4,38,34.2,30.035
601,University of Minho,18066,17.9,10,54,22.5,19.4,34.6,62.6,50.3,28.2875
601,Montana State University,14357,19.4,3,46,18.6,19.4,67,48.4,28.4,34.84
601,Monterrey Institute of Technology,14343,16.2,11,41,20.5,18.2,41.8,74.7,57.3,30.315
601,Nanjing University of Information Science and Technology,21857,15.5,3,,16.7,14.9,69.9,38.9,29.5,33.635
601,Nanjing Medical University,15420,9,5,,38.2,25.9,36,35.8,20.8,32.485
601,Nanjing Normal University,27490,13.2,3,70,20.2,12.1,54.4,47.5,22.9,28.915
601,University of Nantes,37078,24.7,11,56,19.8,21,57.4,39.5,50.4,34.2275
601,National Autonomous University of Mexico,161718,17.1,8,51,31.9,30.4,18.9,61.7,44.2,29.2175
601,National Cheng Kung University (NCKU),20663,13.7,13,37,32.8,41.1,22.9,99.8,36.3,34.2575
601,National Institute of Applied Sciences of Lyon (INSA Lyon),6173,19.6,28,32,29.8,25.5,33.7,91.3,71.7,34.36
601,National University of Science and Technology (MISiS),7090,11.3,26,41,24.3,23.7,29.1,84.2,68.9,30.4025
601,National Taiwan Normal University,10789,12.1,24,,32,37.3,22.8,78.4,51.4,33.445
601,National Technical University of Athens,14133,20.6,8,33,23,12.8,45,71.5,38.6,28.9225
601,"University of Nevada, Las Vegas",24982,22.7,5,57,28.7,22.6,41.3,35.1,32.2,31.0725
601,New Mexico State University (Main campus)  ,12753,16.5,8,54,21.5,14.7,53.9,38.8,37.7,30.8275
601,Nippon Medical School,850,0.9,0,34,25.7,8.8,55.1,34.8,16.9,29.0175
601,University of North Carolina at Greensboro,18999,22.2,4,66,20.9,19.3,50,35.4,21.3,29.5425
601,Northwestern Polytechnical University,28432,13.9,4,26,26.2,33.6,40.2,83.3,24.7,33.935
601,Nottingham Trent University,24140,15,19,57,17.7,12.9,59.5,34.9,69,33.0775
601,NOVA University of Lisbon,19694,18.1,17,50,24.9,25.7,46.6,46.7,60.2,34.8425
601,Ohio University (Main campus),25013,22.3,5,56,28.5,17.4,43.5,35.4,30.6,30
601,Old Dominion University,18878,18.2,3,55,22.7,19.2,51.9,34.4,30.4,31.28
601,University of Oviedo,21663,12.7,3,54,16.8,15.2,54.8,38.5,34.4,29.5825
601,Oxford Brookes University,13915,16.2,28,59,28.5,24,37.4,34.6,78.4,33.715
601,Palacký University Olomouc,17443,13.8,12,69,20.9,18.3,46.9,35.4,57.3,31.0125
601,University of Palermo,29437,20.5,1,58,21.1,17.9,63,35,27.3,33.5225
601,Panjab University,19912,23.4,1,49,27,14.4,56.6,34.9,16.5,31.51
601,Panthéon-Sorbonne University – Paris 1,33883,26.1,21,59,45.4,32.9,11.2,34.8,57.3,32.0175
601,University of Parma,25140,27.4,6,56,18.1,18.9,65.7,39.4,38.1,34.6525
601,Polytechnic University of Catalonia,25484,10.6,16,28,23.7,17.2,56.9,41.2,59.1,34.8025
601,Pontifical Catholic University of Rio de Janeiro (PUC-Rio),15581,21.9,5,51,27.4,25.6,27.9,99.5,41.5,29.87
601,Portland State University,20219,18.4,9,55,21.1,18.4,44.6,35.7,30.4,28.4025
601,University of Pretoria,35086,22,8,57,25.1,30.1,33,41.8,52,31.405
601,Pusan National University,24331,18.3,11,47,27,30,24.9,63.4,35.7,28.8325
601,Universiti Putra Malaysia,20018,12.1,23,73,32,31.4,19.1,41.3,69.5,30.995
601,Université du Québec,52994,19.7,11,58,24.9,23.6,39.1,42.1,67.2,32.3725
601,University of Regina,12935,23.4,22,59,16.8,15.6,45.1,35.8,63,28.87
601,University of Rennes 1,28351,18,12,53,21,15.5,50.9,36.9,55.9,31.335
601,Roskilde University,6382,18,12,63,21.4,32.7,37.8,38.2,52.1,32.4325
601,Ryerson University,33694,43.1,4,55,19.4,26,38.6,36.2,52.4,30.035
601,Universiti Sains Malaysia,20908,10.7,15,68,35.6,22.7,26.7,45.7,52.8,30.6025
601,Saint Petersburg State University,21489,7.4,12,63,46.1,31,19.7,36.4,39.3,32.8975
601,University of Salamanca,28673,17.6,16,59,26.4,17.5,37.9,37,51.4,29.32
601,University of Salento,12040,29.7,1,63,27.5,21,56.3,36.8,26.9,34.3775
601,University of Santiago de Compostela,25455,15.2,8,61,21.8,16.6,46.9,40.3,44.7,29.95
601,University of Sassari,12993,24.1,2,66,22.2,17.2,47.8,36.4,36.6,29.815
601,Savitribai Phule Pune University,6056,12.7,2,58,38.9,18.5,46.6,36.1,17.5,33.415
601,Shahid Beheshti University of Medical Sciences,12713,9.1,2,60,42.9,14.6,37.3,64,17.2,31.33
601,Shandong University,45767,14.6,7,,32.3,29.1,35.4,72.3,30.6,33.1425
601,University of Sharjah,14286,20.8,60,66,19.5,11.8,38.8,38.3,99.1,29.42
601,Université de Sherbrooke,15667,12.9,7,55,29.6,14.5,51,38.1,58.5,33.87
601,Shiraz University of Technology,1602,15.9,0,37,23.7,20.3,46.6,47.9,16.7,29.63
601,Sichuan University,64648,13.8,4,50,30.6,24.8,38.3,63.8,25.3,31.6025
601,Sidi Mohamed Ben Abdellah University,90736,57.1,2,42,25.2,7.6,53.2,34.4,23.6,28.43
601,University of South Dakota,14542,35.1,3,61,31.2,15.6,46.8,39,25.3,30.9525
601,Southern Cross University,9064,25,25,63,18.5,21.5,49.7,39.8,66.6,32.9
601,University of Southern Queensland,12405,25.8,15,57,19.3,19.8,54.9,37.4,72.6,34.58
601,University of Split,20043,22.5,2,,15.7,12.3,56.8,40.1,41.3,29.54
601,Stevens Institute of Technology,5943,16.7,38,29,22.5,15.8,58.4,35.6,68.7,35.0525
601,University of the Sunshine Coast,9720,31.3,17,65,17.3,23.5,46,40.3,68.6,32.1925
601,University of Tabriz,20360,26.4,0,47,27.9,19.9,42.2,42.9,19.5,29.535
601,Tabriz University of Medical Sciences,8047,9.5,0,50,45,12,36.7,34.5,15.9,30.165
601,University of Technology of Compiègne,4229,15.4,23,37,23.2,10.1,37.2,42.6,82.4,28.395
601,University of Tehran,53614,24.5,2,44,36.7,23.5,38.7,34.4,23.3,32.2775
601,Universiti Teknologi Malaysia,19087,11.2,14,52,36.4,25.2,29.2,35.6,56.4,32.36
601,Universiti Teknologi Petronas,6212,15.9,17,34,27.1,30.1,26.8,78.2,66,32.105
601,University of Texas at Arlington,28835,25.2,15,56,21,18.3,50,39.7,46,31.2325
601,Texas Tech University,33015,20.6,9,46,30.8,20.9,46.5,36.2,48.4,33.995
601,Thapar University,7752,14.8,1,28,19.1,9.7,66.5,36,20.9,31.0575
601,University of Thessaly,17004,38.9,4,51,15.7,20.2,48.7,42.8,39.1,29.3825
601,Tokyo Metropolitan University,9160,13.6,5,37,24.9,17.2,54.6,38.4,26.2,31.935
601,University of Toledo,18587,15.5,11,51,33.7,13.9,48.7,42.8,46.2,33.425
601,Tomsk Polytechnic University,9121,8.7,28,34,26.3,20.6,35.7,60.7,54.4,30.3775
601,University of Tours,27285,21.2,11,60,30.2,12.5,48.5,35.7,48.8,31.9125
601,TU Braunschweig,20020,10.4,14,38,25.2,16,48.9,42.6,53.7,32.1225
601,University of Ulsan,12730,11.5,3,46,20.6,23.4,61.8,58.2,21.7,34.8225
601,Ulster University,17817,17.1,8,55,21,18,40.9,35.6,75.7,30.5375
601,University of Warsaw,50484,14,10,64,25.8,21.5,41.4,35.1,45.6,30.9075
601,Waseda University,48839,14.1,10,38,31.3,22.8,28.2,38.1,38,28.4925
601,University of the West of England,21737,18.3,21,53,17.1,15.2,48.4,34.9,64.3,29.905
601,University of the Western Cape,21999,30.5,8,61,18.3,20,60.3,34.4,62.1,35.0975
601,Western Washington University,13726,17.7,1,57,16.2,10.6,62.2,34.5,22.9,29.28
601,University of Westminster,16401,17.4,46,60,18.2,16.2,36.7,34.8,86.7,28.7025
601,West Virginia University,25966,18.5,8,48,27.8,17.1,59.3,34.4,40.8,35.18
601,University of Windsor,13140,29,23,51,33.7,26.6,33.5,36.8,79.9,35.0525
601,Worcester Polytechnic Institute,5733,12.7,22,34,20.1,17.7,59.1,36.5,56.2,34.1975
801,Acharya Nagarjuna University,4792,12.5,6,36,39.9,9.2,15.7,41.8,23.5,22.2475
801,University of A Coruña,14962,11.4,3,52,20.3,13.7,32.5,36.3,31.6,23.2275
801,"Adam Mickiewicz University, Poznań",37634,14.2,2,69,18.1,13.4,32.7,35.4,32.7,22.5975
801,University of the Aegean,13040,41.3,1,57,18.1,17.8,44.3,37,37.5,27.7975
801,"University of Agriculture, Faisalabad",24440,35.4,0,44,17.5,16.5,28.6,41.9,36.6,22.5725
801,Aichi Medical University,1288,2.8,1,58,26,10.8,32.4,34.4,17.4,22.925
801,Ain Shams University,179636,16.9,3,54,21,10.1,31.5,35.6,36,22.37
801,Ajou University,9906,11.3,7,,23.9,23.4,29.8,60.9,30.1,26.91
801,Al-Balqa Applied University,33918,31.3,4,55,11.9,8.9,52.8,40.5,46.4,26.5725
801,University of Algarve,7780,12.9,16,58,17.3,13.5,40.2,35.3,63.1,26.915
801,University of Alicante,27207,18.4,9,58,20,14.8,28.7,37.1,41,23.0525
801,Aligarh Muslim University,18783,13.5,2,38,29,10.4,41.1,34.5,23.6,26.7825
801,American University in Cairo,5936,13.7,5,55,27,25.1,20.2,35.5,64.1,27.385
801,American University of Sharjah,5652,14,83,46,19.2,14.8,23,37.5,94.8,25.1475
801,"Asia University, Taiwan",11779,29.8,5,61,17.3,33.7,23,100,34.1,27.2575
801,Athens University of Economics and Business,9678,44.4,5,47,17.8,21.2,39.3,37.8,45.4,27.84
801,Atılım University,9862,16.8,6,47,14.7,8.8,39.2,37,35.3,22.3825
801,Babeş-Bolyai University,37168,24.6,4,64,16.7,14.1,36.8,34.9,50.6,24.9475
801,University of Baghdad,66399,10.4,0,59,19.5,7.9,43.5,35.2,31.1,24.4825
801,Bauman Moscow State Technical University,19785,4.8,8,28,34,17.4,16.8,61.8,26.3,23.9775
801,University of Bedfordshire,10808,20,34,62,16.9,13.6,29.3,34.9,77.1,24.595
801,Beijing Jiaotong University,26457,14,8,,23.4,23.5,20.3,65.2,28,23.89
801,University of Béjaïa,43026,25.4,0,60,16.4,7.4,53.3,34.4,43.1,27.2225
801,Benha University,97843,30.5,5,38,14.8,7.5,54.6,35.6,42.5,27.1475
801,Birmingham City University,19975,18.1,23,62,16,10.3,37.4,34.6,62.8,24.685
801,University of Bradford,8917,17.7,28,56,19.3,16.4,33,36.9,81.2,27.6225
801,University of Brasília,44074,15.2,2,51,25.8,14.4,36.8,34.5,30.9,26.28
801,Bucharest University of Economic Studies,22022,14.8,3,71,15.4,10,53.1,34.8,19.4,25.875
801,University of Cadiz,19288,19.1,8,55,27,14.8,28.7,35.9,36.4,24.7775
801,Capital Medical University,13178,6.8,5,69,30.2,20.2,24.7,35,23.5,25.1675
801,Cardiff Metropolitan University,8661,16.5,17,55,16.5,10.8,41,34.7,61,25.9325
801,Carlos III University of Madrid,17265,11,15,43,24.4,16.3,34.9,38.2,60.2,28.15
801,University of Castilla-La Mancha,23530,13.8,6,56,16.6,12.5,32.7,36,37,22.215
801,University of Central Lancashire,18824,16.5,18,58,15.7,12.7,39.7,34.8,64.6,26.145
801,Chang Gung University,7556,12.3,5,46,23.3,26.3,29.8,84.9,24.5,27.78
801,Chiba University,13764,9.8,5,38,28.7,19.1,32.8,51.4,25.9,27.4075
801,University of Chile,35447,15,6,47,23.2,17.1,33.9,34.5,51.2,26.9625
801,"China University of Geosciences, Beijing",17752,15.2,1,35,24.7,14.2,39.7,43,25.3,26.5525
801,"China University of Geosciences, Wuhan",28934,16.7,4,,20.5,17.2,43.1,45.6,25.5,27.2925
801,China University of Mining and Technology,47225,18.6,2,32,19.9,13.6,47.4,52.8,18.4,26.97
801,China Pharmaceutical University,16144,18,3,,22.9,13.1,35.5,57.2,17.4,24.185
801,Chonbuk National University,20601,20.7,5,45,22.9,20.4,23.8,39.6,29,23.295
801,Chongqing University,44394,16,4,,23.2,21.3,35.2,60.3,21.4,27.0225
801,Chonnam National University,22469,16.9,6,49,21.3,20.2,29.6,38.9,27.5,24.365
801,Chulalongkorn University,38531,14,4,59,31.5,21.7,22.2,64.8,37.8,27.075
801,University of Córdoba,17406,15.1,8,56,21.2,16.6,36.4,37.1,41.9,26.33
801,Czech Technical University in Prague,19499,10.6,19,31,20.8,17.4,23.4,44.6,53.7,23.6225
801,University of Debrecen,26771,11.9,18,55,19.9,10.6,28,37.7,55.7,22.67
801,University of Derby,13502,15.2,13,56,16.2,10.3,32,35.1,58.8,22.8375
801,University of Deusto,9209,21.8,11,60,21.5,17.6,39.6,38.1,45.7,27.99
801,Eastern Mediterranean University,18865,27.1,83,41,17,11.7,30.6,34.4,86.6,25.145
801,University of East London,10302,17.2,30,63,20.4,14.5,32.8,34.4,78.6,27.065
801,Edinburgh Napier University,10668,18.8,33,55,16.7,13.9,40.4,35.6,80,28.19
801,Embry-Riddle Aeronautical University,16340,16.8,9,18,16.9,9.2,44.5,34.6,30.2,24.31
801,University of Évora,6442,12.4,12,54,19.6,14.6,31.3,35.6,53.7,24.5675
801,Federal University of Pelotas,23198,17.4,0,57,17.9,11,48.6,34.4,20,25.61
801,Federal University of Rio de Janeiro,48675,12.3,2,53,34.4,22,26.1,35.5,28.7,27.79
801,Federico Santa María Technical University,19067,27.3,3,24,13.6,9.8,40.2,44.9,54.5,24.29
801,Ferdowsi University of Mashhad,23992,29.5,5,57,25.9,18.5,23.1,41.8,21.2,22.885
801,Florida Atlantic University,23658,18.3,10,60,21,19.1,37.5,37.9,44.6,27.5725
801,Florida Institute of Technology,5344,14.1,33,34,22.7,14.6,31.4,37.7,56.8,25.8125
801,University of La Frontera,10437,24.6,1,49,15.1,16,34,34.5,47.9,23.985
801,Fu Jen Catholic University,20450,20.7,9,60,18.7,19.9,31.3,53.5,30.4,24.5875
801,Fuzhou University,34979,15.9,2,42,16.6,12.1,54.6,49.5,25.6,28.1475
801,Gdańsk University of Technology,16834,14.8,4,41,17.1,12.1,37,38.3,23.3,22.565
801,University of Ghana,36819,28.7,1,45,15.6,15.5,28.1,48,49.5,22.6725
801,Guangdong University of Technology,43815,19.7,0,30,14.2,13.1,54.6,57.3,25.8,27.9375
801,Hamamatsu University School of Medicine,1210,3.8,1,49,29,13.7,24.3,37.5,17.8,22.3725
801,Hanoi University of Science and Technology,32161,21.4,1,23,14.7,8.4,42.3,37.2,44.6,23.895
801,Hyogo College of Medicine,888,2,1,36,30.2,12.4,43.5,34.4,16.3,27.9125
801,Ilmenau University of Technology,5807,17.7,22,27,25.1,16.8,29.9,50.7,55.5,26.97
801,Indian Institute of Science Education and Research Kolkata,1335,11.8,0,26,28.1,10.8,28.5,35.4,17.2,22.395
801,Indian Institute of Technology (Indian School of Mines) Dhanbad,7833,25.1,1,15,21.5,13.5,37.3,49.3,14.1,23.98
801,Indian Institute of Technology Patna,1387,12.6,0,11,17.6,8.3,41.9,34.7,15.4,22.3625
801,Inha University,19196,23.5,6,39,23.8,20.7,23.8,64,32.1,24.4975
801,"International Islamic University, Islamabad",30614,19.7,8,50,14.4,7.5,53.1,34.4,46.6,26.855
801,University of Isfahan,13782,20.9,1,61,30.9,22.6,13.4,45.5,17.5,22.52
801,Isfahan University of Medical Sciences,11340,12.3,1,62,40.9,11.9,22.4,37.4,16.1,24.7025
801,Istanbul University,122002,59.7,6,51,25.8,24.4,23.6,49.8,27.1,25.4175
801,Jadavpur University,11528,18.4,1,32,33.8,22.3,28.5,40.8,15.4,27.555
801,University of Jaén,16782,20.4,10,55,16.7,14.1,34.7,35.8,38.8,23.455
801,Jiangsu University,35335,9.5,5,42,18.8,10.4,33.1,55.5,37,22.8525
801,Jilin University,70450,10.8,3,47,27.3,16.2,27.4,43.3,20.4,23.8825
801,Jinan University,34904,14,34,60,21.6,14.9,38.5,40.4,54.6,27.605
801,University of Jordan,30495,16.9,16,66,25.1,10.2,29.1,39.3,67.2,25.3425
801,Juntendo University,4653,3.8,2,53,34.6,13.5,27.8,47.4,20.4,25.485
801,Kanazawa University,10420,9.8,5,37,26.8,17.7,28.4,36.9,24.2,24.6075
801,Kaohsiung Medical University,6881,12.2,7,56,22.5,23.3,25.9,54.8,26,24.83
801,Karabük University,52191,53.1,12,47,18.3,7.6,39.2,34.4,30.6,22.685
801,Karlstad University,8552,12.8,,63,16.8,13.2,47.6,35.2,37.2,26.95
801,Kingston University,15700,17.6,36,57,17.6,15.6,33.3,34.7,84.2,27.1325
801,K.N. Toosi University of Technology,6582,22.3,1,35,24.6,23.7,25.1,46.4,19.7,24.6575
801,Kumamoto University,10032,7.6,7,38,26,14.1,23.2,44.8,28.2,22.225
801,University of Kurdistan,9441,28.9,1,54,14.5,13.1,46.6,39.3,17.5,24.555
801,Kuwait University,36551,23.6,15,75,19.1,9.9,31.7,37.4,69.9,24.3875
801,Kyoto Prefectural University of Medicine,1330,3.4,1,46,32.6,13.3,33.7,44.2,16.1,26.1925
801,Kyungpook National University,24155,23.5,6,43,24.5,28,25,43.4,29.3,26.5325
801,University of Lagos,34056,20.3,0,46,15.5,9,58.7,34.5,27.4,27.8775
