rank,name,number_students,student_staff_ratio,intl_students,female_male_ratio,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,total_score
105,University of Bonn,36352,67.7,13,55,47.6,47,88,93.3,60.3,61.635
105,Rice University,6667,8.9,28,42,49.1,39.7,93.7,45.4,77,61.66
107,University of Virginia (Main campus)  ,23116,8.6,12,52,54.4,43.5,91.3,41.6,48.9,61.4675
107,Zhejiang University,33427,10.7,22,23,66,64.7,50.6,100,61.8,61.525
109,Fudan University,32537,11.2,12,53,61.9,58.6,68.1,58.6,44.8,61.405
110,Korea Advanced Institute of Science and Technology (KAIST),9481,10.2,8,20,62.6,66.4,58.1,99.9,35.5,61.29
110,Queen Mary University of London,17799,14.1,43,54,35.3,43.1,98,44.1,96.7,61.275
112,University of Birmingham,29542,15.5,29,57,39.6,45.6,92.1,39.3,89.2,60.8625
113,University of Bern,11090,16.5,16,56,44.5,41.2,86.6,85,87.3,60.3625
113,University of Pittsburgh-Pittsburgh campus,26652,5.8,11,51,47.4,45.5,95.1,40.7,39.3,60.365
115,Aarhus University,26842,14.4,9,55,37.2,54,85.4,66.7,74.8,60.2575
116,Vanderbilt University,12006,3,14,54,48.7,42.1,95.4,47.5,43,60.2725
117,Free University of Berlin,35894,58.2,21,59,57.2,63.3,58.4,42.4,71.6,60.1
117,University of Sheffield,26218,15,34,50,45.2,46.4,83,45.8,87.3,60.0725
119,Case Western Reserve University,10654,8.8,23,50,48.4,39.9,95.3,42.1,52.2,60.0475
120,University of Adelaide,21093,29.9,29,49,34.3,41.6,95.3,64.8,91.7,59.8575
120,National Taiwan University,27254,11.1,11,40,57,62.7,64,65.4,41.9,59.8875
122,University of Southampton,23863,13.7,34,53,40.2,44.3,88,40.1,94.2,59.8175
123,Ghent University,38080,37,10,54,43.3,55.5,78.4,80.9,59.5,59.645
124,University of Colorado Boulder,33186,16.3,11,44,44.8,45.6,93.1,41.7,47.3,59.64
125,University of Göttingen,30773,29.1,13,51,49.6,48.6,82,37,60.9,59.5525
126,City University of Hong Kong,9587,11,45,59,41,48.9,77.6,62.4,99.6,59.28
127,Maastricht University,16857,18.6,54,60,40.2,48.3,77,82.9,97.6,59.0425
128,Radboud University Nijmegen,20024,17.5,14,55,36,49.9,88.2,46.2,73,58.86
